titleId,ordering,title,region,types,isOriginalTitle
tt0000001,1,Карменсіта,UA,imdbDisplay,0
tt0000001,2,Carmencita,DE,,0
tt0000001,3,Carmencita - spanyol tánc,HU,imdbDisplay,0
tt0000001,4,Καρμενσίτα,GR,imdbDisplay,0
tt0000001,5,Карменсита,RU,imdbDisplay,0
tt0000001,6,Carmencita,US,imdbDisplay,0
tt0000001,7,Carmencita,,original,1
tt0000001,8,カルメンチータ,JP,imdbDisplay,0
tt0000002,1,Le clown et ses chiens,,original,1
tt0000002,2,Le clown et ses chiens,FR,imdbDisplay,0
tt0000002,3,A bohóc és kutyái,HU,imdbDisplay,0
tt0000002,4,Der Clown und seine Hunde,DE,,0
tt0000002,5,Clovnul si cainii sai,RO,imdbDisplay,0
tt0000002,6,Клоун и его собаки,RU,imdbDisplay,0
tt0000002,7,The Clown and His Dogs,US,,0
tt0000002,8,道化師と犬,JP,imdbDisplay,0
tt0000003,1,Sarmanul Pierrot,RO,imdbDisplay,0
tt0000003,2,Szegény Pierrot,HU,imdbDisplay,0
tt0000003,3,哀れなピエロ,JP,imdbDisplay,0
tt0000003,4,Бідний П'єро,UA,imdbDisplay,0
tt0000003,5,Бедный Пьеро,RU,imdbDisplay,0
tt0000003,6,Pauvre Pierrot,,original,1
tt0000003,7,Poor Pierrot,GB,imdbDisplay,0
tt0000003,8,Pauvre Pierrot,FR,imdbDisplay,0
tt0000003,9,Armer Pierrot,DE,,0
tt0000004,1,Un bon bock,,original,1
tt0000004,2,Un bon bock,FR,imdbDisplay,0
tt0000004,3,Ein gutes Glas Bier,DE,,0
tt0000004,4,Un ţap de bere,RO,imdbDisplay,0
tt0000004,5,Полная кружка пива,RU,imdbDisplay,0
tt0000004,6,一杯のビール,JP,imdbDisplay,0
tt0000004,7,A Good Beer,,,0
tt0000004,8,Egy jó pohár sör,HU,imdbDisplay,0
tt0000005,10,Blacksmith Scene,US,imdbDisplay,0
tt0000005,11,Blacksmith Scene,,original,1
tt0000005,12,The Blacksmith's Forge,GB,,0
tt0000005,1,Blacksmithing Scene,US,alternative,0
tt0000005,2,Ковальська сцена,UA,imdbDisplay,0
tt0000005,3,Сцена в кузне,RU,imdbDisplay,0
tt0000005,4,Blacksmith Scene,CA,imdbDisplay,0
tt0000005,5,Blacksmith Shop,GB,,0
tt0000005,6,Blacksmith Scene #1,US,alternative,0
tt0000005,7,Blacksmithing,US,,0
tt0000005,8,Schmiedszene,DE,,0
tt0000005,9,A patkolókovács,HU,imdbDisplay,0
tt0000006,1,Китайский опиумный притон,RU,imdbDisplay,0
tt0000006,2,Chinezes Fumadores de Ópio,PT,,0
tt0000006,3,Chinese Opium Den,US,imdbDisplay,0
tt0000006,4,Kínai ópiumbarlang,HU,imdbDisplay,0
tt0000006,5,Chinese Opium Den,,original,1
tt0000006,6,Chinesische Opiumhöhle,DE,,0
tt0000007,10,Corbett und Courtney vor dem Kinetographen,DE,,0
tt0000007,1,Corbett and Courtney Before the Kinetograph,US,imdbDisplay,0
tt0000007,2,Corbett and Courtney Before the Kinetograph,,original,1
tt0000007,3,A Corbett-Courtney bokszmeccs,HU,imdbDisplay,0
tt0000007,4,キネトグラフの前のコーベットとコートニー,JP,imdbDisplay,0
tt0000007,5,The Corbett-Courtney Fight,US,alternative,0
tt0000007,6,Jim Corbett vs. Peter Courtney,US,alternative,0
tt0000007,7,Edison Kinetoscopic Record of Boxers,,,0
tt0000007,8,Корбетт та Кортні перед кінематографом,UA,imdbDisplay,0
tt0000007,9,Корбетт и Кортни перед кинематографом,RU,imdbDisplay,0
tt0000008,10,Fred Ott's Sneeze,,,0
tt0000008,11,Edison kinetoskopische Aufnahme eines Niesens,DE,,0
tt0000008,1,Edison asszisztense tüsszent,HU,imdbDisplay,0
tt0000008,2,フレッド・オット－のくしゃみ,JP,imdbDisplay,0
tt0000008,3,"Edison Kinetoscopic Record of a Sneeze, January 7, 1894",US,,0
tt0000008,4,Edison Kinetoscopic Record of a Sneeze,US,imdbDisplay,0
tt0000008,5,Edison Kinetoscopic Record of a Sneeze,,original,1
tt0000008,6,Fred Otts Niesen,DE,,0
tt0000008,7,"Чих, записанный на кинетоскоп Эдисона",RU,imdbDisplay,0
tt0000008,8,The Films of Thomas A Edison presented by Raymond Rohauer,US,,0
tt0000008,9,Чхання Фреда Отта,UA,imdbDisplay,0
tt0000009,1,Miss Jerry,,original,1
tt0000009,2,Miss Jerry,AU,imdbDisplay,0
tt0000009,3,Fräulein Jerry,DE,,0
tt0000009,4,Miss Jerry,HU,imdbDisplay,0
tt0000009,5,Miss Jerry,US,imdbDisplay,0
tt0000010,10,Вихід робітників із фабрики,UA,imdbDisplay,0
tt0000010,11,La salida de la fábrica Lumière en Lyon,ES,imdbDisplay,0
tt0000010,12,Työntekijät poistuvat Lumière-tehtaalta,FI,,0
tt0000010,13,Wyjście robotników z fabryki,PL,imdbDisplay,0
tt0000010,14,Lumière-fabrikens arbetare,FI,,0
tt0000010,15,Exiting the Factory,US,imdbDisplay,0
tt0000010,16,La sortie de l'usine Lumière,FR,alternative,0
tt0000010,17,La sortie de l'usine Lumière à Lyon,,original,1
tt0000010,18,La sortie des usines Lumière,FR,alternative,0
tt0000010,19,Радници напуштају фабрику Лимијер,RS,imdbDisplay,0
tt0000010,1,La salida de los obreros de la fábrica Lumière,AR,,0
tt0000010,20,Leaving the Factory,US,imdbDisplay,0
tt0000010,21,Salida de obreros de la fábrica Lumiere,UY,,0
tt0000010,22,Munkások elhagyják a lyoni Lumiére-gyárat,HU,imdbDisplay,0
tt0000010,23,La sortie des ouvriers de l'usine Lumière,FR,,0
tt0000010,24,L'uscita dalle fabbriche Lumière,IT,imdbDisplay,0
tt0000010,25,Выход рабочих с фабрики 'Люмьер',RU,imdbDisplay,0
tt0000010,2,A Saída dos Operários da Fábrica Lumière,BR,,0
tt0000010,3,Employees Leaving the Lumière Factory,US,alternative,0
tt0000010,4,Sortie d'usine,FR,,0
tt0000010,5,La sortie de l'usine Lumière à Lyon,FR,imdbDisplay,0
tt0000010,6,La sortie de l'usine Lumière à Lyon,CA,imdbDisplay,0
tt0000010,7,Arbeiter verlassen die Lumière-Werke,DE,imdbDisplay,0
tt0000010,8,Workers Leaving the Lumière Factory,US,imdbDisplay,0
tt0000010,9,工場の出口,JP,imdbDisplay,0
tt0000011,1,Akrobatisches Potpourri,DE,imdbDisplay,0
tt0000011,2,Akrobatisches Potpourri,,original,1
tt0000011,3,Акробатическая смесь,RU,imdbDisplay,0
tt0000012,10,Juna saapuu asemalle,FI,,0
