nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0021752,Naty A. Almanza,\N,\N,producer,"tt0955231,tt2298808,tt2544782,tt0374500"
nm0021753,Raimund Almanza,\N,\N,camera_department,"tt0383574,tt0306685,tt0367594,tt0181852"
nm0021754,James Almanzar,1934,2002,actor,"tt0061020,tt0088814,tt0064155,tt0062569"
nm0021755,Jim Almanzer,\N,\N,actor,tt0128274
nm0021756,Christer Almar,\N,\N,actor,tt0150662
nm0021757,Henry Almar,\N,\N,actor,tt0040195
nm0021758,Isa Almar,\N,\N,actress,tt0024533
nm0021759,Knud Almar,1889,1965,actor,"tt0126675,tt0125437,tt2357484,tt0038481"
nm0021760,Marc Almar,\N,\N,cinematographer,"tt0085777,tt0953994"
nm0021761,Cherit Almaranaz,\N,\N,script_department,tt0115858
nm0021762,Johnny Almaraz,\N,\N,miscellaneous,"tt0120744,tt0105265"
nm0021763,José Almaraz,\N,\N,"sound_department,actor","tt0081574,tt0084356,tt0074060,tt0064586"
nm0021764,Isabel Almarche,\N,\N,actress,tt0015719
nm0021765,Joaquina Almarche,\N,\N,actress,"tt0017867,tt0039760,tt0028580,tt0038861"
nm0021767,Marvin Almars,\N,\N,actor,tt0052844
nm0021768,Carlos Eleta Almaran,1918,2013,"soundtrack,composer","tt7349950,tt0248089,tt0352343,tt0371246"
nm0021769,Dumitru Almas,\N,\N,miscellaneous,"tt0075067,tt0130023,tt0130022"
nm0021771,Joseph Almas,1883,1948,actor,"tt0038723,tt0036929,tt0153455,tt0040609"
nm0021772,Mairzee Almas,\N,\N,"assistant_director,director,producer","tt2403776,tt17220216,tt1751634,tt3006802"
nm0021773,Matt Almas,\N,\N,camera_department,"tt1706593,tt1318514,tt1190080,tt0831387"
nm0021774,Jahangir Almasi,\N,\N,"actor,director,writer","tt0469703,tt3532212,tt0343389,tt6185964"
nm0021775,Shadi Almassizadeh,\N,\N,"miscellaneous,visual_effects,animation_department","tt4154796,tt0499549,tt0346156,tt9376612"
nm0021777,Marianne Almasy,\N,\N,make_up_department,tt0092559
nm0021778,Mike Almayehu,1983,\N,"actor,soundtrack","tt0398468,tt0188350,tt19878236"
nm0021779,Michael Almaz,1921,2012,actor,"tt0105691,tt1076818"
nm0021780,Noam Almaz,\N,\N,actor,"tt0087629,tt0089079,tt0090798"
nm0021781,Sarah Almazol,\N,\N,actress,tt0117596
nm0021782,Randy Almazon,\N,\N,actor,"tt0843523,tt0100324"
nm0021783,Alonso Almazán,\N,\N,actor,"tt1790024,tt0073930,tt0472642,tt0178418"
nm0021784,Carlos Almazán,\N,\N,"camera_department,miscellaneous,cinematographer","tt1911808,tt0217259,tt0260772,tt0220004"
nm0021785,Cristina Almazán,\N,\N,actress,"tt5868826,tt7937168,tt0072818,tt27599915"
nm0021786,Humberto Almazán,1924,\N,actor,"tt0050144,tt0249863,tt0244475,tt0223581"
nm0021787,Marco A. Almazán,\N,\N,writer,tt0061038
nm0021788,Maria Almazán,\N,\N,make_up_department,"tt0406439,tt0231040"
nm0021789,Roberto Almazán,\N,\N,actor,"tt0484384,tt0115772"
nm0021790,Víctor Almazán,\N,\N,"writer,actor","tt1135082,tt0060939,tt13658126,tt0424658"
nm0021791,Helen Almberg,1955,\N,art_department,tt0081130
nm0021792,Gunnar Alme,1924,2000,"production_designer,set_decorator,actor","tt0155680,tt0073135,tt0192229,tt0279994"
nm0021793,Marvin Almeas,1932,2020,"actor,assistant_director,producer","tt0050066,tt0051307,tt0070445,tt0195353"
nm0021794,Åsa Älmeby Thorne,\N,\N,"actress,assistant_director","tt5821392,tt15211018,tt0907683,tt6842794"
nm0021795,Lasse Almebäck,1962,\N,actor,"tt0117698,tt0116696,tt0333611,tt0115426"
nm0021796,Teresa Almeda,\N,\N,"actress,producer","tt1589513,tt5101192,tt2717766,tt4136774"
nm0021797,Lylie Almeida,1960,\N,"miscellaneous,production_manager,producer","tt2395427,tt8936646,tt4154756,tt4080956"
nm0021798,B. Almedingen,\N,\N,art_director,tt0018542
nm0021799,Jesús Almedo,\N,\N,director,tt0204308
nm0021801,María Fernanda Almeida D'Orey,\N,\N,actress,tt0016774
nm0021802,Ronaldo Almeida Filho,\N,\N,actor,tt0184440
nm0021803,Genésio Almeida Jr.,\N,\N,actor,"tt0209711,tt0209712,tt0209798,tt0209570"
nm0021804,Rosa Almeida Lima,\N,\N,"costume_designer,costume_department","tt0438288,tt0108471,tt6999208,tt0340099"
nm0021805,Antonio Almeida Lopes,\N,\N,director,"tt0071821,tt2042740"
nm0021806,Adelina Almeida,\N,\N,actress,tt0089682
nm0021807,Adriano Almeida,\N,\N,"director,actor","tt0120313,tt0119122,tt2358936"
nm0021808,Alcino Almeida,\N,\N,"transportation_department,miscellaneous","tt0107151,tt0103206"
nm0021809,Alexandre Almeida,\N,\N,actor,tt0143037
nm0021810,Alfredo Almeida,\N,\N,actor,tt0178833
nm0021811,Alfredo Almeida,\N,\N,sound_department,"tt0112134,tt1483142,tt0118391,tt0115248"
nm0021812,Altino Almeida,\N,\N,actor,tt0100269
nm0021813,Amylton Almeida,\N,\N,producer,tt0233505
