tconst,directors,writers
tt0000111,nm0005690,nm0410331
tt0000112,nm0005690,nm0410331
tt0000113,nm0005690,nm0410331
tt0000114,nm0617588,\N
tt0000115,nm0617588,\N
tt0000116,nm0617588,\N
tt0000117,nm0234288,\N
tt0000118,nm0617588,\N
tt0000119,nm0617588,\N
tt0000120,nm0617588,\N
tt0000121,nm0609678,\N
tt0000122,nm0617588,\N
tt0000123,nm0617588,\N
tt0000124,nm0617588,\N
tt0000125,\N,\N
tt0000126,nm0617588,\N
tt0000127,nm0617588,\N
tt0000128,nm0617588,\N
tt0000129,nm0617588,\N
tt0000130,nm0617588,\N
tt0000131,nm0617588,\N
tt0000132,nm0617588,nm0617588
tt0000133,nm0617588,\N
tt0000134,\N,\N
tt0000135,nm0005690,\N
tt0000137,nm0349785,\N
tt0000138,nm0617588,nm0617588
tt0000139,nm0349785,\N
tt0000140,nm0349785,\N
tt0000141,nm0349785,\N
tt0000142,nm0924920,\N
tt0000143,nm0349785,\N
tt0000144,nm0349785,\N
tt0000145,nm0349785,\N
tt0000146,nm0349785,\N
tt0000147,nm0714557,\N
tt0000148,nm0349785,\N
tt0000149,nm0617588,\N
tt0000150,nm0349785,\N
tt0000151,nm0617588,\N
tt0000152,nm0617588,\N
tt0000153,nm0808310,\N
tt0000154,nm0010291,\N
tt0000155,nm0617588,\N
tt0000156,nm0617588,\N
tt0000157,nm0349785,\N
tt0000158,nm0349785,\N
tt0000159,nm0617588,\N
tt0000160,nm0095816,\N
tt0000161,nm0349785,\N
tt0000162,nm0698645,\N
tt0000163,nm0349785,\N
tt0000164,nm0349785,\N
tt0000165,nm0005717,nm0005717
tt0000166,nm0005717,\N
tt0000167,nm0422809,\N
tt0000168,nm0005717,\N
tt0000169,nm0698645,\N
tt0000170,nm0666972,\N
tt0000171,nm0349785,\N
tt0000172,nm0808310,\N
tt0000173,nm0085865,\N
tt0000174,nm0471818,nm0841389
tt0000175,nm0795060,\N
tt0000176,\N,\N
tt0000177,nm0085865,\N
tt0000178,nm0692105,\N
tt0000179,nm0617588,\N
tt0000180,nm0349785,\N
tt0000181,nm0808310,nm0674518
tt0000182,nm0666972,\N
tt0000183,nm0808310,nm0241416
tt0000184,nm0924920,\N
tt0000185,nm0349785,\N
tt0000186,nm0617588,\N
tt0000187,nm0349785,\N
tt0000188,nm0666972,\N
tt0000189,nm0005717,nm0005717
tt0000190,nm0471818,nm0841389
tt0000191,nm0349785,\N
tt0000192,nm0924920,nm0238900
tt0000193,nm0349785,\N
tt0000194,nm0378408,\N
tt0000195,nm0349785,\N
tt0000196,nm0808310,nm0324473
tt0000197,nm0349785,\N
tt0000198,nm0349785,\N
tt0000199,\N,\N
tt0000200,\N,\N
tt0000201,nm0005690,\N
tt0000202,nm0349785,\N
tt0000203,nm0349785,\N
tt0000204,nm0349785,\N
tt0000205,nm0349785,\N
tt0000206,nm0005717,\N
tt0000207,\N,\N
tt0000208,nm0808310,\N
tt0000209,nm0808310,\N
tt0000210,nm0617588,\N
tt0000211,nm0617588,nm0617588
tt0000212,nm0795060,\N
tt0000213,nm0349785,\N
tt0000214,nm0085865,\N
tt0000215,nm0471818,nm0841389
tt0000216,nm0005717,\N
tt0000217,nm0808310,\N
tt0000218,nm0617588,nm0617588
tt0000219,nm0808310,\N
tt0000220,\N,\N
tt0000221,nm0182052,\N
tt0000222,nm0349785,\N
tt0000223,nm0349785,\N
tt0000224,\N,\N
tt0000225,\N,nm0207305
tt0000226,\N,\N
tt0000227,nm4427898,\N
tt0000228,nm0349785,\N
tt0000229,\N,nm0857203
tt0000230,nm0617588,nm0674518
tt0000231,nm0795060,\N
tt0000232,nm0349785,\N
tt0000233,nm0005717,nm0005717
tt0000234,nm0617588,\N
tt0000235,nm0617588,nm0353584
tt0000236,nm0349785,\N
tt0000237,nm0349785,\N
tt0000238,nm0349785,\N
tt0000239,nm0349785,\N
tt0000240,\N,\N
tt0000241,nm0349785,\N
tt0000242,nm0617588,nm0617588
tt0000243,nm0349785,\N
tt0000244,nm0349785,\N
tt0000245,\N,\N
tt0000246,nm0617588,\N
tt0000247,"nm2156608,nm0005690,nm0002504","nm0000636,nm0002504"
tt0000248,nm0808310,\N
tt0000249,nm0808310,\N
tt0000250,nm0005717,\N
tt0000251,nm0177862,\N
tt0000252,nm0349785,\N
tt0000253,nm0095816,\N
tt0000254,nm0349785,\N
tt0000255,nm0349785,\N
tt0000256,\N,\N
tt0000257,nm0349785,\N
tt0000258,nm0349785,\N
tt0000259,nm0349785,\N
tt0000260,nm0349785,\N
tt0000261,nm0617588,\N
tt0000262,nm0349785,\N
tt0000263,\N,\N
tt0000264,nm0617588,\N
tt0000265,\N,\N
tt0000266,\N,\N
tt0000267,nm0349785,\N
tt0000268,nm0349785,\N
tt0000269,nm0666972,\N
tt0000270,nm0349785,\N
tt0000271,nm0349785,\N
tt0000272,nm0808310,\N
tt0000273,nm0932055,nm0932055
tt0000274,nm0349785,\N
tt0000275,nm0349785,\N
tt0000276,nm0349785,\N
tt0000277,nm0349785,\N
tt0000278,\N,\N
tt0000279,\N,\N
tt0000280,\N,\N
tt0000281,\N,\N
tt0000282,nm0349785,\N
tt0000283,nm0349785,\N
tt0000284,nm0349785,\N
tt0000285,nm0095816,\N
tt0000286,nm0349785,\N
tt0000287,"nm0085865,nm0807236",\N
tt0000288,nm0349785,\N
tt0000289,nm0349785,\N
tt0000290,nm0349785,\N
tt0000291,nm0349785,\N
tt0000292,nm0349785,\N
tt0000293,nm0349785,\N
tt0000294,nm0349785,\N
tt0000295,nm0349785,\N
tt0000296,nm0349785,\N
tt0000297,nm0349785,\N
tt0000298,nm0349785,\N
tt0000299,nm0349785,\N
tt0000300,nm0085865,\N
tt0000301,nm0692105,nm0324473
tt0000302,nm0349785,\N
tt0000303,nm0349785,\N
tt0000304,nm0808310,\N
tt0000305,nm0349785,\N
tt0000306,nm0561109,nm0000636
tt0000307,nm0085865,nm1112850
tt0000308,nm0808310,\N
tt0000309,nm0378408,\N
tt0000310,\N,\N
tt0000312,nm0349785,\N
tt0000313,nm0808310,\N
tt0000314,nm0349785,\N
tt0000315,nm0349785,\N
tt0000316,nm0349785,\N
tt0000317,nm0349785,\N
tt0000318,nm0804434,nm0804433
tt0000319,nm0793094,\N
tt0000320,nm0349785,\N
tt0000321,nm0692105,\N
tt0000322,nm0005717,\N
tt0000323,nm0349785,\N
tt0000324,nm0349785,\N
tt0000325,nm0349785,\N
tt0000326,nm0349785,\N
tt0000327,nm0349785,\N
tt0000328,nm0349785,\N
tt0000329,nm0349785,\N
tt0000330,nm0349785,\N
tt0000331,nm0349785,\N
tt0000332,nm0349785,\N
tt0000333,nm0349785,\N
tt0000334,nm0349785,\N
tt0000335,"nm0095714,nm0675140",\N
tt0000336,nm0349785,\N
tt0000337,\N,\N
tt0000338,nm0349785,\N
tt0000339,nm0349785,\N
tt0000340,nm0692105,\N
tt0000341,nm0692105,\N
tt0000342,nm0349785,\N
tt0000343,nm0349785,\N
tt0000344,nm0349785,\N
tt0000345,nm0349785,\N
tt0000346,nm0692105,\N
tt0000347,\N,\N
tt0000348,nm0349785,\N
tt0000349,nm0095816,\N
tt0000350,nm0666972,\N
tt0000351,nm0349785,\N
tt0000352,nm0692105,\N
tt0000353,nm0692105,\N
tt0000354,nm0182052,\N
tt0000355,nm0932055,\N
tt0000356,nm0349785,\N
tt0000357,nm0095816,\N
tt0000358,nm0954087,nm0954087
tt0000359,nm0617588,\N
tt0000360,nm0349785,\N
tt0000361,nm0349785,\N
tt0000362,nm0349785,\N
tt0000363,nm0095816,nm0095816
tt0000364,nm0692105,\N
tt0000365,nm0182052,\N
tt0000366,nm0182052,\N
tt0000367,nm0349785,\N
tt0000368,nm0617588,nm0674518
tt0000369,nm0005717,\N
tt0000370,nm0095816,"nm1304340,nm0002042"
tt0000371,nm0349785,\N
tt0000372,nm0349785,\N
tt0000373,nm0954087,\N
tt0000374,nm0349785,\N
tt0000375,nm0182052,\N
tt0000376,nm0958169,nm0670740
tt0000377,nm0095816,\N
tt0000378,nm0349785,\N
tt0000379,nm0005717,\N
tt0000380,"nm0634629,nm0954087",nm0674518
tt0000381,\N,\N
tt0000382,nm0005717,\N
tt0000383,nm0005717,\N
tt0000384,nm0349785,\N
tt0000385,nm0349785,\N
tt0000386,nm0349785,\N
tt0000387,"nm0617588,nm0881616",\N
tt0000388,nm0349785,\N
tt0000389,nm0349785,\N
tt0000390,nm0349785,\N
tt0000391,nm0349785,\N
tt0000392,nm0095816,\N
tt0000393,nm0349785,\N
tt0000394,nm0349785,\N
tt0000395,nm0349785,\N
tt0000396,nm0349785,\N
tt0000397,nm0349785,\N
tt0000398,nm0349785,\N
tt0000399,"nm2092030,nm0692105",\N
tt0000400,nm0349785,\N
tt0000401,nm0349785,\N
tt0000402,nm0808310,\N
tt0000403,nm0349785,\N
tt0000404,nm0349785,\N
tt0000405,nm0349785,\N
tt0000406,\N,\N
tt0000407,nm0005717,\N
tt0000408,nm0349785,\N
tt0000409,nm0349785,\N
tt0000410,nm0035502,\N
tt0000411,nm0349785,\N
tt0000412,nm0555522,\N
tt0000413,nm0617588,nm0617588
tt0000414,nm0692105,\N
tt0000415,nm0349785,\N
tt0000416,nm0954087,"nm0954087,nm0957652"
tt0000417,nm0617588,"nm0617588,nm0894523,nm0920229"
tt0000418,nm0353576,\N
tt0000419,nm0349785,\N
tt0000420,"nm0378408,nm0832948","nm0140902,nm0378408"
tt0000421,nm0349785,\N
tt0000422,nm0349785,\N
tt0000423,nm0617588,\N
tt0000424,nm0349785,\N
tt0000425,\N,\N
tt0000426,\N,\N
tt0000427,nm0349785,\N
tt0000428,nm0005717,\N
tt0000429,nm0349785,\N
tt0000430,nm0666972,\N
tt0000431,nm0349785,\N
tt0000432,nm0349785,\N
tt0000433,nm0349785,\N
tt0000434,nm0808310,\N
tt0000435,nm0349785,\N
tt0000436,"nm0095816,nm0666972",\N
tt0000437,nm0349785,\N
tt0000438,nm0349785,\N
tt0000439,nm0692105,"nm1145809,nm0692105"
tt0000440,nm0617588,\N
tt0000441,nm0159015,"nm0842605,nm0159015"
tt0000442,nm0253298,"nm1856940,nm1857036"
tt0000443,nm0742777,"nm3887135,nm0519303"
tt0000444,nm0349785,\N
tt0000445,nm0349785,\N
tt0000446,nm0567363,\N
tt0000447,"nm2092030,nm0692105",nm0692105
tt0000448,nm0349785,\N
tt0000449,nm0349785,\N
tt0000450,nm0349785,\N
tt0000451,nm0808310,\N
tt0000452,nm0692105,\N
tt0000453,nm0349785,\N
tt0000454,nm0349785,\N
tt0000455,nm0617588,\N
tt0000456,\N,\N
tt0000457,nm0349785,\N
tt0000458,nm0349785,\N
tt0000459,\N,\N
tt0000460,nm0567363,\N
tt0000461,nm0349785,\N
tt0000462,nm0349785,\N
tt0000463,nm0005717,\N
tt0000464,nm0005690,"nm0099105,nm0005690,nm0410331,nm0420198"
tt0000465,nm0617588,"nm0617588,nm1340310"
tt0000466,nm0349785,\N
tt0000467,nm0349785,\N
tt0000468,nm0349785,\N
tt0000469,nm0808310,\N
tt0000470,nm0349785,\N
tt0000471,nm0692105,nm0832952
tt0000472,nm0002615,nm0832952
tt0000473,nm0349785,\N
tt0000474,nm0349785,\N
tt0000475,nm0095816,\N
tt0000476,nm0349785,\N
tt0000477,nm0349785,\N
tt0000478,nm0172118,\N
tt0000479,nm0666972,\N
tt0000480,nm0617588,\N
tt0000481,\N,\N
tt0000482,nm0349785,\N
tt0000483,nm0349785,\N
tt0000484,nm0349785,\N
tt0000485,nm0349785,\N
tt0000486,nm0085865,nm0850483
tt0000487,nm0002615,\N
tt0000488,nm0789748,nm0794919
tt0000489,nm0349785,\N
tt0000490,nm0349785,\N
tt0000491,\N,\N
tt0000492,nm0567363,\N
tt0000493,nm0349785,\N
tt0000494,nm0349785,\N
tt0000495,nm0954087,\N
tt0000496,\N,\N
tt0000497,\N,\N
tt0000498,"nm0280432,nm0378408",nm1539443
tt0000499,nm0617588,"nm0617588,nm0894523,nm0257866"
tt0000500,\N,\N
tt0000501,nm0085865,"nm0236279,nm0509478"
tt0000502,nm0063413,"nm0063413,nm0657268,nm0675388"
tt0000503,nm0185426,\N
